iter	Passed	Remaining
485	5146	5442
486	5156	5431
487	5166	5420
488	5176	5409
489	5186	5398
490	5196	5386
491	5205	5375
492	5216	5364
493	5226	5353
494	5236	5342
495	5247	5331
496	5257	5320
497	5266	5309
498	5278	5299
499	5288	5288
500	5298	5276
501	5308	5265
502	5318	5254
503	5328	5243
504	5339	5233
505	5349	5222
506	5361	5213
507	5372	5202
508	5384	5193
509	5394	5182
510	5404	5171
511	5415	5161
512	5425	5150
513	5435	5139
514	5445	5127
515	5455	5116
516	5466	5106
517	5476	5095
518	5486	5084
519	5496	5073
520	5506	5063
521	5516	5051
522	5526	5040
523	5536	5029
524	5546	5018
525	5556	5007
526	5566	4996
527	5576	4985
528	5586	4974
529	5596	4962
530	5606	4951
531	5617	4941
532	5627	4930
533	5637	4919
534	5646	4907
535	5656	4897
536	5666	4885
537	5676	4874
538	5686	4863
539	5696	4852
540	5706	4841
541	5716	4830
542	5726	4819
543	5737	4809
544	5747	4798
545	5758	4788
546	5769	4777
547	5779	4766
548	5790	4756
549	5800	4745
550	5809	4734
551	5820	4723
552	5831	4713
553	5841	4703
554	5851	4692
555	5861	4680
556	5871	4670
557	5881	4659
558	5892	4648
559	5901	4637
560	5913	4627
561	5923	4616
562	5933	4605
563	5944	4595
564	5955	4585
565	5966	4574
566	5977	4565
567	5992	4557
568	6003	4547
569	6015	4537
570	6026	4527
571	6038	4518
572	6050	4508
573	6061	4498
574	6072	4488
575	6084	4478
576	6099	4471
577	6111	4462
578	6123	4452
579	6134	4442
580	6145	4432
581	6156	4421
582	6168	4411
583	6179	4402
584	6190	4391
585	6201	4381
586	6212	4371
587	6224	4361
588	6236	4351
589	6248	4342
590	6260	4332
591	6272	4322
592	6285	4313
593	6298	4304
594	6312	4296
595	6327	4288
596	6341	4280
597	6353	4270
598	6364	4260
599	6376	4251
600	6388	4241
601	6400	4231
602	6423	4228
603	6435	4219
604	6447	4209
605	6458	4199
606	6477	4193
607	6489	4184
608	6501	4174
609	6513	4164
610	6525	4154
611	6550	4153
612	6562	4142
613	6586	4140
614	6598	4130
615	6610	4120
616	6621	4110
617	6633	4100
618	6649	4093
619	6673	4090
620	6685	4079
621	6696	4069
622	6707	4059
623	6739	4060
624	6752	4051
625	6763	4041
626	6775	4030
627	6807	4032
628	6819	4022
629	6830	4011
630	6853	4007
631	6876	4004
632	6887	3993
633	6899	3983
634	6943	3991
635	6954	3980
636	6966	3970
637	7010	3977
638	7023	3967
639	7035	3957
640	7047	3946
641	7059	3936
642	7092	3938
643	7102	3926
644	7112	3914
645	7123	3903
646	7134	3892
647	7144	3880
648	7154	3869
649	7165	3858
650	7176	3847
651	7186	3835
652	7196	3823
653	7206	3812
654	7216	3800
655	7226	3789
656	7236	3778
657	7247	3766
658	7257	3755
659	7267	3743
660	7276	3731
661	7287	3720
662	7297	3709
663	7308	3698
664	7319	3687
665	7329	3675
666	7339	3664
667	7350	3653
668	7361	3642
669	7372	3631
670	7382	3619
671	7392	3608
672	7402	3596
673	7412	3585
674	7422	3573
675	7432	3562
676	7443	3551
677	7454	3540
678	7463	3528
679	7474	3517
680	7485	3506
681	7495	3494
682	7505	3483
683	7515	3472
684	7527	3461
685	7537	3450
686	7547	3438
687	7558	3427
688	7568	3416
689	7577	3404
690	7587	3393
691	7597	3381
692	7607	3370
693	7618	3359
694	7629	3348
695	7640	3337
696	7650	3325
697	7660	3314
698	7670	3302
699	7681	3291
700	7691	3280
701	7701	3269
702	7710	3257
703	7720	3246
704	7731	3235
705	7742	3224
706	7752	3212
707	7762	3201
708	7772	3189
709	7782	3178
710	7791	3167
711	7801	3155
712	7812	3144
713	7822	3133
714	7833	3122
715	7842	3110
716	7853	3099
717	7863	3088
718	7873	3077
719	7883	3065
720	7894	3054
721	7904	3043
722	7915	3032
723	7925	3021
724	7936	3010
725	7946	2999
726	7956	2987
727	7966	2976
728	7976	2965
729	7986	2953
730	7996	2942
731	8006	2931
732	8016	2920
733	8027	2909
734	8037	2897
735	8047	2886
736	8059	2876
737	8070	2865
738	8081	2854
739	8093	2843
740	8104	2832
741	8116	2822
742	8130	2812
743	8141	2801
744	8153	2790
745	8187	2787
746	8201	2777
747	8213	2766
748	8223	2755
749	8235	2745
750	8246	2734
751	8257	2723
752	8269	2712
753	8281	2701
754	8292	2690
755	8303	2679
756	8314	2669
757	8353	2666
758	8364	2655
759	8375	2644
760	8386	2633
761	8396	2622
762	8406	2611
763	8416	2599
764	8426	2588
765	8436	2577
766	8446	2565
767	8456	2554
768	8466	2543
769	8476	2532
770	8487	2520
771	8496	2509
772	8507	2498
773	8518	2487
774	8529	2476
775	8540	2465
776	8550	2454
777	8560	2442
778	8571	2431
779	8580	2420
780	8590	2408
781	8601	2397
782	8611	2386
783	8621	2375
784	8631	2364
785	8642	2352
786	8652	2341
787	8661	2330
788	8671	2319
789	8681	2307
790	8692	2296
791	8702	2285
792	8712	2274
793	8722	2262
794	8732	2251
795	8742	2240
796	8753	2229
797	8763	2218
798	8773	2207
799	8784	2196
800	8795	2185
801	8806	2174
802	8816	2162
803	8826	2151
804	8836	2140
805	8846	2129
806	8856	2118
807	8866	2106
808	8876	2095
809	8886	2084
810	8896	2073
811	8906	2062
812	8916	2051
813	8926	2039
814	8938	2028
815	8948	2017
816	8958	2006
817	8968	1995
818	8978	1984
819	8989	1973
820	8999	1962
821	9009	1950
822	9019	1939
823	9029	1928
824	9039	1917
825	9049	1906
826	9060	1895
827	9070	1884
828	9080	1873
829	9090	1861
830	9100	1850
831	9111	1839
832	9121	1828
833	9131	1817
834	9142	1806
835	9152	1795
836	9162	1784
837	9172	1773
838	9182	1761
839	9191	1750
840	9201	1739
841	9211	1728
842	9223	1717
843	9233	1706
844	9243	1695
845	9254	1684
846	9264	1673
847	9274	1662
848	9284	1651
849	9294	1640
850	9304	1629
851	9314	1618
852	9324	1606
853	9334	1595
854	9344	1584
855	9354	1573
856	9364	1562
857	9374	1551
858	9384	1540
859	9396	1529
860	9405	1518
861	9415	1507
862	9425	1496
863	9436	1485
864	9445	1474
865	9455	1463
866	9465	1452
867	9475	1441
868	9485	1429
869	9495	1418
870	9505	1407
871	9516	1396
872	9527	1385
873	9537	1374
874	9547	1363
875	9557	1352
876	9567	1341
877	9576	1330
878	9586	1319
879	9596	1308
880	9607	1297
881	9617	1286
882	9627	1275
883	9637	1264
884	9647	1253
885	9657	1242
886	9667	1231
887	9677	1220
888	9687	1209
889	9697	1198
890	9707	1187
891	9717	1176
892	9727	1165
893	9738	1154
894	9747	1143
895	9757	1132
896	9767	1121
897	9777	1110
898	9787	1099
899	9797	1088
900	9807	1077
901	9817	1066
902	9827	1055
903	9837	1044
904	9847	1033
905	9857	1022
906	9867	1011
907	9877	1000
908	9887	989
909	9897	978
910	9906	967
911	9916	956
912	9926	945
913	9937	935
914	9948	924
915	9958	913
916	9967	902
917	9977	891
918	9988	880
919	10000	869
920	10009	858
921	10019	847
922	10030	836
923	10040	825
924	10050	814
925	10060	803
926	10070	793
927	10080	782
928	10089	771
929	10099	760
930	10109	749
931	10119	738
932	10130	727
933	10140	716
934	10150	705
935	10160	694
936	10170	683
937	10181	672
938	10191	662
939	10201	651
940	10211	640
941	10222	629
942	10232	618
943	10243	607
944	10253	596
945	10262	585
946	10272	574
947	10283	564
948	10292	553
949	10302	542
950	10312	531
951	10322	520
952	10333	509
953	10343	498
954	10353	487
955	10362	476
956	10373	466
957	10382	455
958	10394	444
959	10404	433
960	10414	422
961	10424	411
962	10434	400
963	10445	390
964	10454	379
965	10465	368
966	10474	357
967	10484	346
968	10495	335
969	10505	324
970	10515	314
971	10525	303
972	10535	292
973	10545	281
974	10555	270
975	10565	259
976	10575	248
977	10585	238
978	10595	227
979	10604	216
980	10614	205
981	10624	194
982	10634	183
983	10645	173
984	10656	162
985	10666	151
986	10676	140
987	10686	129
988	10696	118
989	10706	108
990	10716	97
991	10726	86
992	10737	75
993	10747	64
994	10757	54
995	10766	43
996	10778	32
997	10787	21
998	10797	10
999	10807	0
